size,mean,std
200,638.59578125,167.1221986275659
400,651.0166796875,141.76814586200007
600,651.0166796875,141.76814586200007
800,652.0491015625,139.66072353447953
1000,652.2366015625,139.2779907621716
1200,652.2366015625,139.2779907621716
1400,652.2366015625,139.2779907621716
1600,657.61294921875,128.30356706440176
1800,668.02068359375,107.05886823348524
2000,675.66822265625,91.44839449109834
2200,685.046640625,72.30477897630287
2400,692.2326171875,57.636465742244674
2600,702.96708984375,35.72481518828424
2800,711.8977734375,17.495133642329634
3000,719.8891796875,1.1831925511005668
